734
734
296,308
315,711
394,559
175,603
109,242
276,570
83,450
584,638
135,140
682,504
321,451
302,507
542,529
121,433
394,419
160,598
554,724
114,620
726,546
413,554
418,215
178,239
433,583
534,261
322,590
612,208
66,508
307,26
622,322
380,455
510,662
678,284
700,131
523,567
9,62
335,616
527,725
407,137
446,606
654,604
131,395
391,331
409,104
10,52
447,603
242,312
202,322
179,401
362,594
14,690
376,238
352,541
716,313
623,119
165,579
32,378
685,621
411,700
184,602
598,305
145,41
656,31
616,587
466,260
278,385
258,562
185,680
582,206
112,430
584,718
431,553
410,678
582,156
383,527
569,490
193,363
548,166
414,273
78,284
657,388
553,626
501,490
238,240
408,364
136,448
485,595
699,433
550,279
149,485
582,96
55,394
162,681
278,656
144,127
306,602
675,162
88,100
286,495
21,476
232,145
367,691
119,267
27,134
222,370
299,395
430,256
376,482
216,251
567,447
179,634
371,639
688,44
367,518
491,538
586,444
360,581
130,500
416,703
651,678
689,468
564,633
159,450
629,138
523,142
654,163
136,383
269,41
225,149
564,51
673,41
442,82
39,239
720,567
702,703
159,611
559,595
170,261
683,102
120,457
439,223
725,163
446,136
669,113
210,162
710,645
662,315
471,709
623,663
635,71
291,723
653,577
442,567
499,601
410,177
106,380
595,238
607,483
695,508
702,118
659,711
306,181
721,84
46,625
236,467
399,670
508,441
606,601
732,108
649,641
550,632
228,416
254,541
385,96
77,340
178,252
513,517
221,67
108,725
78,45
151,42
70,459
460,496
562,305
370,474
192,389
162,401
653,654
94,248
188,243
682,260
283,614
270,309
675,245
122,554
657,509
676,20
399,471
122,435
460,350
617,224
685,88
169,481
12,463
355,446
642,576
488,460
39,236
610,428
605,632
621,144
481,546
528,720
344,559
412,383
272,305
647,450
149,139
441,127
430,79
174,490
618,154
192,47
691,44
103,107
277,4
243,360
511,507
273,663
672,312
224,477
339,520
415,449
497,116
429,656
472,181
590,661
408,202
417,257
86,510
8,717
729,271
206,353
687,709
312,232
566,647
500,249
129,163
536,470
375,372
95,270
715,164
56,712
249,391
393,407
635,87
376,25
441,341
731,190
222,322
315,22
477,528
715,8
492,139
674,347
727,150
187,417
231,561
213,121
42,62
368,63
696,469
216,131
723,147
435,369
45,102
123,345
262,666
416,294
456,515
328,414
234,86
390,62
645,108
543,340
236,98
169,93
676,602
329,124
472,493
544,284
244,196
126,546
286,100
154,263
299,128
117,636
359,98
579,369
632,647
248,700
178,56
397,639
385,407
397,409
73,384
566,402
264,370
395,64
516,251
698,42
151,300
322,523
112,149
38,415
435,646
411,122
558,595
343,351
283,49
497,454
137,549
410,19
597,187
183,708
634,535
537,42
375,232
238,106
422,717
556,215
652,23
708,433
533,135
617,252
450,496
512,553
162,192
614,648
482,462
261,505
585,237
152,693
360,336
444,635
484,422
409,585
82,647
191,429
606,459
157,676
584,426
142,151
32,374
716,213
694,421
494,64
632,192
304,275
590,185
29,674
214,415
448,142
626,620
163,160
198,464
664,587
377,318
370,473
375,674
79,404
707,515
82,595
278,524
407,705
667,510
540,504
158,455
97,445
436,404
66,200
409,569
343,193
21,13
143,354
652,317
712,507
532,553
72,285
302,259
113,537
618,684
569,547
391,273
480,304
241,276
644,677
516,345
562,342
466,20
183,663
320,592
128,245
516,224
128,520
202,160
504,101
295,633
66,515
704,163
478,652
202,461
327,453
462,157
129,210
176,608
555,596
686,558
240,421
574,83
39,431
622,648
642,254
405,682
48,511
185,259
718,423
111,432
256,275
206,44
62,40
14,59
200,116
598,300
442,357
640,403
727,512
414,410
365,51
285,610
385,539
265,394
331,273
448,582
730,259
115,301
82,159
549,342
652,415
362,263
192,341
397,697
417,697
340,406
233,82
271,83
163,438
128,239
687,673
