Testni primer za prastevilo : 53 Mnozica: Z_53
----------------------------------
Vsota: 
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23
 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25
 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27
 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28
 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29
 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30
 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31
 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32
 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33
 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34
 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37
 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38
 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40 39
 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41 40
 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42 41
 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43 42
 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44 43
 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45 44
 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46 45
 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47 46
 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48 47
 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49 48
 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50 49
 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51 50
 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52 51
 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0 52
 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1  0
----------------------------------
Obratno: 
1|27|18|40|32|9|38|20|6|16|29|31|49|19|46|10|25|3|14|8|48|41|30|42|17|51|2|36|11|23|12|5|45|39|50|28|43|7|34|4|22|24|37|47|33|15|44|21|13|35|26|52|----------------------------------
Kolicnik: 
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1 27 18 40 32  9 38 20  6 16 29 31 49 19 46 10 25  3 14  8 48 41 30 42 17 51  2 36 11 23 12  5 45 39 50 28 43  7 34  4 22 24 37 47 33 15 44 21 13 35 26 52
  2  1 36 27 11 18 23 40 12 32  5  9 45 38 39 20 50  6 28 16 43 29  7 31 34 49  4 19 22 46 24 10 37 25 47  3 33 14 15  8 44 48 21 41 13 30 35 42 26 17 52 51
  3 28  1 14 43 27  8  7 18 48 34 40 41  4 32 30 22  9 42 24 38 17 37 20 51 47  6  2 33 16 36 15 29 11 44 31 23 21 49 12 13 19  5 35 46 45 26 10 39 52 25 50
  4  2 19  1 22 36 46 27 24 11 10 18 37 23 25 40 47 12  3 32 33  5 14  9 15 45  8 38 44 39 48 20 21 50 41  6 13 28 30 16 35 43 42 29 26  7 17 31 52 34 51 49
  5 29 37 41  1 45 31 47 30 27 39 49 33 42 18 50 19 15 17 40 28 46 44 51 32 43 10 21  2  9  7 25 13 36 38 34  3 35 11 20  4 14 26 23  6 22  8 52 12 16 24 48
  6  3  2 28 33  1 16 14 36 43 15 27 29  8 11  7 44 18 31 48 23 34 21 40 49 41 12  4 13 32 19 30  5 22 35  9 46 42 45 24 26 38 10 17 39 37 52 20 25 51 50 47
  7 30 20 15 12 10  1 34 42  6 44  5 25 27  4 17 16 21 45  3 18 22 51 29 13 39 14 40 24  2 31 35 50  8 32 37 36 49 26 28 48  9 47 11 19 52 43 41 38 33 23 46
  8  4 38  2 44 19 39  1 48 22 20 36 21 46 50 27 41 24  6 11 13 10 28 18 30 37 16 23 35 25 43 40 42 47 29 12 26  3  7 32 17 33 31  5 52 14 34  9 51 15 49 45
  9 31  3 42 23 28 24 21  1 38 49 14 17 12 43 37 13 27 20 19  8 51  5  7 47 35 18  6 46 48  2 45 34 33 26 40 16 10 41 36 39  4 15 52 32 29 25 30 11 50 22 44
 10  5 21 29  2 37  9 41  7  1 25 45 13 31 36 47 38 30 34 27  3 39 35 49 11 33 20 42  4 18 14 50 26 19 23 15  6 17 22 40  8 28 52 46 12 44 16 51 24 32 48 43
 11 32 39 16 34 46 47  8 13 17  1 23  9 50 29  4 10 33 48 35 51 27 12 38 28 31 22 25 15 41 26  2 18  5 20 43 49 24  3 44 30 52 36 40 45  6  7 19 37 14 21 42
 12  6  4  3 13  2 32 28 19 33 30  1  5 16 22 14 35 36  9 43 46 15 42 27 45 29 24  8 26 11 38  7 10 44 17 18 39 31 37 48 52 23 20 34 25 21 51 40 50 49 47 41
 13 33 22 43 45 11 17 48 25 49  6 32  1 35 15 24  7 39 23 51 41  3 19 16  9 27 26 44 37 34 50 12  2 30 14 46 29 38 18 52 21 47  4 28  5 36 42  8 10 31 20 40
 14  7 40 30 24 20  2 15 31 12 35 10 50  1  8 34 32 42 37  6 36 44 49  5 26 25 28 27 48  4  9 17 47 16 11 21 19 45 52  3 43 18 41 22 38 51 33 29 23 13 46 39
 15 34  5 17  3 29 40 35 37 28 11 41 46 20  1 44  4 45 51 14 31 32 26 47 43 23 30 10  6 27 21 22 39  2  8 49  9 52 33  7 12 42 25 16 18 13 24 50 36 48 19 38
 16  8 23  4 35 38 25  2 43 44 40 19 42 39 47  1 29 48 12 22 26 20  3 36  7 21 32 46 17 50 33 27 31 41  5 24 52  6 14 11 34 13  9 10 51 28 15 18 49 30 45 37
 17 35 41 44 14 47 10 22 49  7 16 50 38  5 40 11  1 51 26 30 21  8 33 25 24 19 34 29 28 20 45 32 23 27  2 52 42 13 48 15  3 37 46  4 31 43  6 39  9 12 18 36
 18  9  6 31 46  3 48 42  2 23 45 28 34 24 33 21 26  1 40 38 16 49 10 14 41 17 36 12 39 43  4 37 15 13 52 27 32 20 29 19 25  8 30 51 11  5 50  7 22 47 44 35
 19 36 24 18 25 12 33  9  8 39 21  6 30 43 26 31 51  4  1 46 11 37 40  3  5 15 38 48 50 13 16 42  7 52 49  2 22 27 10 23 47 32 14 45 44 20 41 28 35 29 17 34
 20 10 42  5  4 21 18 29 14  2 50 37 26  9 19 41 23  7 15  1  6 25 17 45 22 13 40 31  8 36 28 47 52 38 46 30 12 34 44 27 16  3 51 39 24 35 32 49 48 11 43 33
 21 37  7 45 36 30  3 49 20 18 26 15 22 28 12 51 48 10 29  9  1 13 47 34 39 11 42 14 19  6 40 52 44 24 43  5  2 41 25 31 38 27 35 33  4 50 23 17  8 46 16 32
 22 11 25 32 15 39 41 16 26 34  2 46 18 47  5  8 20 13 43 17 49  1 24 23  3  9 44 50 30 29 52  4 36 10 40 33 45 48  6 35  7 51 19 27 37 12 14 38 21 28 42 31
 23 38 43 19 47 48 26 36 32 50 31 24 14 13 51 18 45 16  4 25 44 42  1 12 20  7 46 33 41 52 11  9 28 49 37  8 35  2 40 39 29 22  3 21 17 27  5  6 34 10 15 30
 24 12  8  6 26  4 11  3 38 13  7  2 10 32 44 28 17 19 18 33 39 30 31  1 37  5 48 16 52 22 23 14 20 35 34 36 25  9 21 43 51 46 40 15 50 42 49 27 47 45 41 29
 25 39 26 46  5 13 49 23 44 29 36 33  6 51 37 38 42 22 32 41 34 18  8 43  1  3 50 52 10 45 35 19 12 21 31 11 15 16  2 47 20 17 24  9 30  4 40 48  7 27 14 28
 26 13 44 33 37 22 34 43 50 45 12 11  2 17 30 48 14 25 46 49 29  6 38 32 18  1 52 35 21 15 47 24  4  7 28 39  5 23 36 51 42 41  8  3 10 19 31 16 20  9 40 27
 27 40  9 20 16 31 19 10  3  8 41 42 51 36 23  5 39 28  7  4 24 47 15 21 35 52  1 18 32 38  6 29 49 46 25 14 48 30 17  2 11 12 45 50 43 34 22 37 33 44 13 26
 28 14 27  7 48 40  4 30  9 24 17 20 47  2 16 15 11 31 21 12 19 35 45 10 52 50  3  1 43  8 18 34 41 32 22 42 38 37 51  6 33 36 29 44 23 49 13  5 46 26 39 25
 29 41 45 47 27 49 42 50 15 40 46 51 43 21  9 25 36 34 35 20 14 23 22 52 16 48  5 37  1 31 30 39 33 18 19 17 28 44 32 10  2  7 13 38  3 11  4 26  6  8 12 24
 30 15 10 34  6  5 27 17 21  3 22 29 39 40  2 35  8 37 49 28  9 11 52 41 33 46  7 20 12  1 42 44 25  4 16 45 18 51 13 14 24 31 50 32 36 26 48 47 19 43 38 23
 31 42 28 21 38 14 12 37 27 19 51  7 35  6 48 45 33 40 10 36  4 52 29 30 50 44  9  3 23 24  1 49 17 43 13 20  8  5 47 18 46  2 34 26 16 41 39 15 32 25 11 22
 32 16 46  8 17 23 50  4 33 35 27 38 31 25 41  2  5 43 24 44 52 40  6 19 14 42 11 39 34 47 13  1  9 29 10 48 51 12 28 22 15 26 18 20 49  3 30 36 45  7 37 21
 33 43 11 48 49 32 35 24 39 51  3 16 27 44 34 12 30 46 38 52 47 28 36  8 31 40 13 22 45 17 25  6  1 15  7 23 41 19  9 26 37 50  2 14 29 18 21  4  5 42 10 20
 34 17 29 35 28 41 20 44 45 14 32 47 23 10 27 22  2 49 52  7 42 16 13 50 48 38 15  5  3 40 37 11 46  1  4 51 31 26 43 30  6 21 39  8  9 33 12 25 18 24 36 19
 35 44 47 22  7 50  5 11 51 30  8 25 19 29 20 32 27 52 13 15 37  4 43 39 12 36 17 41 14 10 49 16 38 40  1 26 21 33 24 34 28 45 23  2 42 48  3 46 31  6  9 18
 36 18 12  9 39  6 43 31  4 46 37  3 15 48 13 42 52  2 27 23 32 45 20 28 29 34 19 24 25 33  8 21 30 26 51  1 11 40  5 38 50 16  7 49 22 10 47 14 44 41 35 17
 37 45 30 49 18 15 28 51 10  9 13 34 11 14  6 52 24  5 41 31 27 33 50 17 46 32 21  7 36  3 20 26 22 12 48 29  1 47 39 42 19 40 44 43  2 25 38 35  4 23  8 16
 38 19 48 36 50 24 13 18 16 25 42 12  7 33 52  9 49  8  2 39 22 21 27  6 10 30 23 43 47 26 32 31 14 51 45  4 44  1 20 46 41 11 28 37 35 40 29  3 17  5 34 15
 39 46 13 23 29 33 51 38 22 41 18 43  3 52 45 19 21 11 16 47 17  9  4 48 27 28 25 26  5 49 44 36  6 37 42 32 34  8  1 50 10 35 12 31 15  2 20 24 30 40  7 14
 40 20 31 10  8 42 36  5 28  4 47 21 52 18 38 29 46 14 30  2 12 50 34 37 44 26 27  9 16 19  3 41 51 23 39  7 24 15 35  1 32  6 49 25 48 17 11 45 43 22 33 13
 41 47 49 50 40 51 21 25 34 20 23 52 48 37 31 39 18 17 44 10  7 38 11 26  8 24 29 45 27 42 15 46 43  9 36 35 14 22 16  5  1 30 33 19 28 32  2 13  3  4  6 12
 42 21 14 37 19  7  6 45 40 36 52 30 44  3 24 49 43 20  5 18  2 26 41 15 25 22 31 28 38 12 27 51 35 48 33 10  4 29 50  9 23  1 17 13  8 47 46 34 16 39 32 11
 43 48 32 24 51 16 44 12 46 52 28  8 40 22 17  6 15 23 19 26 50 14 18  4 42 20 33 11 49 35 39  3 27 34 30 38 47 36 31 13 45 25  1  7 41  9 37  2 29 21  5 10
 44 22 50 11 30 25 29 32 52 15  4 39 36 41 10 16 40 26 33 34 45  2 48 46  6 18 35 47  7  5 51  8 19 20 27 13 37 43 12 17 14 49 38  1 21 24 28 23 42  3 31  9
 45 49 15 51  9 34 14 52  5 31 33 17 32  7  3 26 12 29 47 42 40 43 25 35 23 16 37 30 18 28 10 13 11  6 24 41 27 50 46 21 36 20 22 48  1 39 19 44  2 38  4  8
 46 23 33 38 41 43 52 19 11 47  9 48 28 26 49 36 37 32  8 50 35 31  2 24 40 14 39 13 29 51 22 18  3 45 21 16 17  4 27 25  5 44  6 42 34  1 10 12 15 20 30  7
 47 50 51 25 20 52 37 39 17 10 38 26 24 45 42 46  9 35 22  5 30 19 32 13  4 12 41 49 40 21 34 23 48 31 18 44  7 11  8 29 27 15 43 36 14 16  1 33 28  2  3  6
 48 24 16 12 52  8 22  6 23 26 14  4 20 11 35  3 34 38 36 13 25  7  9  2 21 10 43 32 51 44 46 28 40 17 15 19 50 18 42 33 49 39 27 30 47 31 45  1 41 37 29  5
 49 51 34 52 31 17  7 26 29 42 43 35 16 30 28 13  6 41 50 21 20 48 39 44 38  8 45 15  9 14  5 33 32  3 12 47 40 25 23 37 18 10 11 24 27 46 36 22  1 19  2  4
 50 25 52 39 10 26 45 46 35  5 19 13 12 49 21 23 31 44 11 29 15 36 16 33  2  6 47 51 20 37 17 38 24 42  9 22 30 32  4 41 40 34 48 18  7  8 27 43 14  1 28  3
 51 52 17 26 42 35 30 13 41 21 48 44  8 15 14 33  3 47 25 37 10 24 46 22 19  4 49 34 31  7 29 43 16 28  6 50 20 39 38 45  9  5 32 12 40 23 18 11 27 36  1  2
 52 26 35 13 21 44 15 33 47 37 24 22  4 34  7 43 28 50 39 45  5 12 23 11 36  2 51 17 42 30 41 48  8 14  3 25 10 46 19 49 31 29 16  6 20 38  9 32 40 18 27  1
----------------------------------
Navadna potenca: 
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
 25 50 47 41 29  5 10 20 40 27  1  2  4  8 16 32 11 22 44 35 17
 38  8 24 19  4 12 36  2  6 18  1  3  9 27 28 31 40 14 42 20  7
 42  9 36 38 46 25 47 29 10 40  1  4 16 11 44 17 15  7 28  6 24
 40 41 46 18 37 26 24 14 17 32  1  5 25 19 42 51 43  3 15 22  4
 49 29 15 37 10  7 42 40 28  9  1  6 36  4 24 38 16 43 46 11 13
 28 37 47 11 24  9 10 17 13 38  1  7 49 25 16  6 42 29 44 43 36
 43 26 49 21  9 19 46 50 29 20  1  8 11 35 15 14  6 48 13 51 37
 13 11 46 43 16 38 24  4 36  6  1  9 28 40 42  7 10 37 15 29 49
 46 36 42 49 13 24 28 15 44 16  1 10 47 46 36 42 49 13 24 28 15
 47 40 16 17 28 43 49  9 46 29  1 11 15  6 13 37 36 25 10  4 44
  6 19 16 33 25 35 49  5  7 31  1 12 38 32 13 50 17 45 10 14  9
 24 47 28 46 15 36 44 42 16 49  1 13 10 24 47 28 46 15 36 44 42
 11 48 36 27  7 45 47 22 43 19  1 14 37 41 44 33 38  2 28 21 29
 36 10 44 24 42 47 16 28 49 46  1 15 13 36 10 44 24 42 47 16 28
 15 28 24 13 49 42 36 46 47 10  1 16 44 15 28 24 13 49 42 36 46
 16  7 13  9 47  4 15 43 42 25  1 17 24 37 46 40 44  6 49 38 10
  7 20 42 14 40 31 28 27  9  3  1 18  6  2 36 12  4 19 24  8 38
 29 21 28  2 38 33 44 41 37 14  1 19 43 22 47 45  7 27 36 48 11
 37 51 13 48  6 14 15 35 11  8  1 20 29 50 46 19  9 21 49 26 43
  4 31 15 50 43  2 42 34 25 48  1 21 17 39 24 27 37 35 46 12 40
  9 39 10  8 17  3 13 21 38 41  1 22  7 48 49 18 25 20 16 34  6
 52 30  1 23 52 30  1 23 52 30  1 23 52 30  1 23 52 30  1 23 52
 44 49 10 28 36 16 13 47 15 42  1 24 46 44 49 10 28 36 16 13 47
 10 38 49  6 44 40 46 37 24 17  1 25 42 43 15  4 47  9 13  7 16
 17 18 44 31 11 21 16 45  4 51  1 26 40 33 10 48 29 12 47  3 25
 17 35 44 22 11 32 16  8  4  2  1 27 40 20 10  5 29 41 47 50 25
 10 15 49 47 44 13 46 16 24 36  1 28 42 10 15 49 47 44 13 46 16
 44  4 10 25 36 37 13  6 15 11  1 29 46  9 49 43 28 17 16 40 47
 52 23  1 30 52 23  1 30 52 23  1 30 52 23  1 30 52 23  1 30 52
  9 14 10 45 17 50 13 32 38 12  1 31  7  5 49 35 25 33 16 19  6
  4 22 15  3 43 51 42 19 25  5  1 32 17 14 24 26 37 18 46 41 40
 37  2 13  5  6 39 15 18 11 45  1 33 29  3 46 34  9 32 49 27 43
 29 32 28 51 38 20 44 12 37 39  1 34 43 31 47  8  7 26 36  5 11
  7 33 42 39 40 22 28 26  9 50  1 35  6 51 36 41  4 34 24 45 38
 16 46 13 44 47 49 15 10 42 28  1 36 24 16 46 13 44 47 49 15 10
 15 25 24 40 49 11 36  7 47 43  1 37 44 38 28 29 13  4 42 17 46
 36 43 44 29 42  6 16 25 49  7  1 38 13 17 10  9 24 11 47 37 28
 11  5 36 26  7  8 47 31 43 34  1 39 37 12 44 20 38 51 28 32 29
 24  6 28  7 15 17 44 11 16  4  1 40 10 29 47 25 46 38 36  9 42
  6 34 16 20 25 18 49 48  7 22  1 41 38 21 13  3 17  8 10 39  9
 47 13 16 36 28 10 49 44 46 24  1 42 15 47 13 16 36 28 10 49 44
 46 17 42  4 13 29 28 38 44 37  1 43 47  7 36 11 49 40 24 25 15
 13 42 46 10 16 15 24 49 36 47  1 44 28 13 42 46 10 16 15 24 49
 43 27 49 32  9 34 46  3 29 33  1 45 11 18 15 39  6  5 13  2 37
 28 16 47 42 24 44 10 36 13 15  1 46 49 28 16 47 42 24 44 10 36
 49 24 15 16 10 46 42 13 28 44  1 47 36 49 24 15 16 10 46 42 13
 40 12 46 35 37 27 24 39 17 21  1 48 25 34 42  2 43 50 15 31  4
 42 44 36 15 46 28 47 24 10 13  1 49 16 42 44 36 15 46 28 47 24
 38 45 24 34  4 41 36 51  6 35  1 50  9 26 28 22 40 39 42 33  7
 25  3 47 12 29 48 10 33 40 26  1 51  4 45 16 21 11 31 44 18 17
  1 52  1 52  1 52  1 52  1 52  1 52  1 52  1 52  1 52  1 52  1
----------------------------------
Kvadratni koreni: 
0 -> 1
1 -> 2
2 -> 0
3 -> 0
4 -> 2
5 -> 0
6 -> 2
7 -> 2
8 -> 0
9 -> 2
10 -> 2
11 -> 2
12 -> 0
13 -> 2
14 -> 0
15 -> 2
16 -> 2
17 -> 2
18 -> 0
19 -> 0
20 -> 0
21 -> 0
22 -> 0
23 -> 0
24 -> 2
25 -> 2
26 -> 0
27 -> 0
28 -> 2
29 -> 2
30 -> 0
31 -> 0
32 -> 0
33 -> 0
34 -> 0
35 -> 0
36 -> 2
37 -> 2
38 -> 2
39 -> 0
40 -> 2
41 -> 0
42 -> 2
43 -> 2
44 -> 2
45 -> 0
46 -> 2
47 -> 2
48 -> 0
49 -> 2
50 -> 0
51 -> 0
52 -> 2
----------------------------------
Multiplikativni Generator: 
2 3 5 8 12 14 18 19 20 21 22 26 27 31 32 33 34 35 39 41 45 48 50 51 
----------------------------------
