Testni primer za prastevilo : 67 Mnozica: Z_67
----------------------------------
Vsota: 
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66
 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11
 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12
 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13
 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17
 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18
 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19
 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21
 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 53 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
 54 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
 55 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
 56 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
 57 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
 58 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
 59 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
 60 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
 61 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
 62 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61
 63 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
 64 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
 65 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
 66  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65
----------------------------------
Zmnozek: 
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66
  0  2  4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66  1  3  5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65
  0  3  6  9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66  2  5  8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65  1  4  7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58 61 64
  0  4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64  1  5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65  2  6 10 14 18 22 26 30 34 38 42 46 50 54 58 62 66  3  7 11 15 19 23 27 31 35 39 43 47 51 55 59 63
  0  5 10 15 20 25 30 35 40 45 50 55 60 65  3  8 13 18 23 28 33 38 43 48 53 58 63  1  6 11 16 21 26 31 36 41 46 51 56 61 66  4  9 14 19 24 29 34 39 44 49 54 59 64  2  7 12 17 22 27 32 37 42 47 52 57 62
  0  6 12 18 24 30 36 42 48 54 60 66  5 11 17 23 29 35 41 47 53 59 65  4 10 16 22 28 34 40 46 52 58 64  3  9 15 21 27 33 39 45 51 57 63  2  8 14 20 26 32 38 44 50 56 62  1  7 13 19 25 31 37 43 49 55 61
  0  7 14 21 28 35 42 49 56 63  3 10 17 24 31 38 45 52 59 66  6 13 20 27 34 41 48 55 62  2  9 16 23 30 37 44 51 58 65  5 12 19 26 33 40 47 54 61  1  8 15 22 29 36 43 50 57 64  4 11 18 25 32 39 46 53 60
  0  8 16 24 32 40 48 56 64  5 13 21 29 37 45 53 61  2 10 18 26 34 42 50 58 66  7 15 23 31 39 47 55 63  4 12 20 28 36 44 52 60  1  9 17 25 33 41 49 57 65  6 14 22 30 38 46 54 62  3 11 19 27 35 43 51 59
  0  9 18 27 36 45 54 63  5 14 23 32 41 50 59  1 10 19 28 37 46 55 64  6 15 24 33 42 51 60  2 11 20 29 38 47 56 65  7 16 25 34 43 52 61  3 12 21 30 39 48 57 66  8 17 26 35 44 53 62  4 13 22 31 40 49 58
  0 10 20 30 40 50 60  3 13 23 33 43 53 63  6 16 26 36 46 56 66  9 19 29 39 49 59  2 12 22 32 42 52 62  5 15 25 35 45 55 65  8 18 28 38 48 58  1 11 21 31 41 51 61  4 14 24 34 44 54 64  7 17 27 37 47 57
  0 11 22 33 44 55 66 10 21 32 43 54 65  9 20 31 42 53 64  8 19 30 41 52 63  7 18 29 40 51 62  6 17 28 39 50 61  5 16 27 38 49 60  4 15 26 37 48 59  3 14 25 36 47 58  2 13 24 35 46 57  1 12 23 34 45 56
  0 12 24 36 48 60  5 17 29 41 53 65 10 22 34 46 58  3 15 27 39 51 63  8 20 32 44 56  1 13 25 37 49 61  6 18 30 42 54 66 11 23 35 47 59  4 16 28 40 52 64  9 21 33 45 57  2 14 26 38 50 62  7 19 31 43 55
  0 13 26 39 52 65 11 24 37 50 63  9 22 35 48 61  7 20 33 46 59  5 18 31 44 57  3 16 29 42 55  1 14 27 40 53 66 12 25 38 51 64 10 23 36 49 62  8 21 34 47 60  6 19 32 45 58  4 17 30 43 56  2 15 28 41 54
  0 14 28 42 56  3 17 31 45 59  6 20 34 48 62  9 23 37 51 65 12 26 40 54  1 15 29 43 57  4 18 32 46 60  7 21 35 49 63 10 24 38 52 66 13 27 41 55  2 16 30 44 58  5 19 33 47 61  8 22 36 50 64 11 25 39 53
  0 15 30 45 60  8 23 38 53  1 16 31 46 61  9 24 39 54  2 17 32 47 62 10 25 40 55  3 18 33 48 63 11 26 41 56  4 19 34 49 64 12 27 42 57  5 20 35 50 65 13 28 43 58  6 21 36 51 66 14 29 44 59  7 22 37 52
  0 16 32 48 64 13 29 45 61 10 26 42 58  7 23 39 55  4 20 36 52  1 17 33 49 65 14 30 46 62 11 27 43 59  8 24 40 56  5 21 37 53  2 18 34 50 66 15 31 47 63 12 28 44 60  9 25 41 57  6 22 38 54  3 19 35 51
  0 17 34 51  1 18 35 52  2 19 36 53  3 20 37 54  4 21 38 55  5 22 39 56  6 23 40 57  7 24 41 58  8 25 42 59  9 26 43 60 10 27 44 61 11 28 45 62 12 29 46 63 13 30 47 64 14 31 48 65 15 32 49 66 16 33 50
  0 18 36 54  5 23 41 59 10 28 46 64 15 33 51  2 20 38 56  7 25 43 61 12 30 48 66 17 35 53  4 22 40 58  9 27 45 63 14 32 50  1 19 37 55  6 24 42 60 11 29 47 65 16 34 52  3 21 39 57  8 26 44 62 13 31 49
  0 19 38 57  9 28 47 66 18 37 56  8 27 46 65 17 36 55  7 26 45 64 16 35 54  6 25 44 63 15 34 53  5 24 43 62 14 33 52  4 23 42 61 13 32 51  3 22 41 60 12 31 50  2 21 40 59 11 30 49  1 20 39 58 10 29 48
  0 20 40 60 13 33 53  6 26 46 66 19 39 59 12 32 52  5 25 45 65 18 38 58 11 31 51  4 24 44 64 17 37 57 10 30 50  3 23 43 63 16 36 56  9 29 49  2 22 42 62 15 35 55  8 28 48  1 21 41 61 14 34 54  7 27 47
  0 21 42 63 17 38 59 13 34 55  9 30 51  5 26 47  1 22 43 64 18 39 60 14 35 56 10 31 52  6 27 48  2 23 44 65 19 40 61 15 36 57 11 32 53  7 28 49  3 24 45 66 20 41 62 16 37 58 12 33 54  8 29 50  4 25 46
  0 22 44 66 21 43 65 20 42 64 19 41 63 18 40 62 17 39 61 16 38 60 15 37 59 14 36 58 13 35 57 12 34 56 11 33 55 10 32 54  9 31 53  8 30 52  7 29 51  6 28 50  5 27 49  4 26 48  3 25 47  2 24 46  1 23 45
  0 23 46  2 25 48  4 27 50  6 29 52  8 31 54 10 33 56 12 35 58 14 37 60 16 39 62 18 41 64 20 43 66 22 45  1 24 47  3 26 49  5 28 51  7 30 53  9 32 55 11 34 57 13 36 59 15 38 61 17 40 63 19 42 65 21 44
  0 24 48  5 29 53 10 34 58 15 39 63 20 44  1 25 49  6 30 54 11 35 59 16 40 64 21 45  2 26 50  7 31 55 12 36 60 17 41 65 22 46  3 27 51  8 32 56 13 37 61 18 42 66 23 47  4 28 52  9 33 57 14 38 62 19 43
  0 25 50  8 33 58 16 41 66 24 49  7 32 57 15 40 65 23 48  6 31 56 14 39 64 22 47  5 30 55 13 38 63 21 46  4 29 54 12 37 62 20 45  3 28 53 11 36 61 19 44  2 27 52 10 35 60 18 43  1 26 51  9 34 59 17 42
  0 26 52 11 37 63 22 48  7 33 59 18 44  3 29 55 14 40 66 25 51 10 36 62 21 47  6 32 58 17 43  2 28 54 13 39 65 24 50  9 35 61 20 46  5 31 57 16 42  1 27 53 12 38 64 23 49  8 34 60 19 45  4 30 56 15 41
  0 27 54 14 41  1 28 55 15 42  2 29 56 16 43  3 30 57 17 44  4 31 58 18 45  5 32 59 19 46  6 33 60 20 47  7 34 61 21 48  8 35 62 22 49  9 36 63 23 50 10 37 64 24 51 11 38 65 25 52 12 39 66 26 53 13 40
  0 28 56 17 45  6 34 62 23 51 12 40  1 29 57 18 46  7 35 63 24 52 13 41  2 30 58 19 47  8 36 64 25 53 14 42  3 31 59 20 48  9 37 65 26 54 15 43  4 32 60 21 49 10 38 66 27 55 16 44  5 33 61 22 50 11 39
  0 29 58 20 49 11 40  2 31 60 22 51 13 42  4 33 62 24 53 15 44  6 35 64 26 55 17 46  8 37 66 28 57 19 48 10 39  1 30 59 21 50 12 41  3 32 61 23 52 14 43  5 34 63 25 54 16 45  7 36 65 27 56 18 47  9 38
  0 30 60 23 53 16 46  9 39  2 32 62 25 55 18 48 11 41  4 34 64 27 57 20 50 13 43  6 36 66 29 59 22 52 15 45  8 38  1 31 61 24 54 17 47 10 40  3 33 63 26 56 19 49 12 42  5 35 65 28 58 21 51 14 44  7 37
  0 31 62 26 57 21 52 16 47 11 42  6 37  1 32 63 27 58 22 53 17 48 12 43  7 38  2 33 64 28 59 23 54 18 49 13 44  8 39  3 34 65 29 60 24 55 19 50 14 45  9 40  4 35 66 30 61 25 56 20 51 15 46 10 41  5 36
  0 32 64 29 61 26 58 23 55 20 52 17 49 14 46 11 43  8 40  5 37  2 34 66 31 63 28 60 25 57 22 54 19 51 16 48 13 45 10 42  7 39  4 36  1 33 65 30 62 27 59 24 56 21 53 18 50 15 47 12 44  9 41  6 38  3 35
  0 33 66 32 65 31 64 30 63 29 62 28 61 27 60 26 59 25 58 24 57 23 56 22 55 21 54 20 53 19 52 18 51 17 50 16 49 15 48 14 47 13 46 12 45 11 44 10 43  9 42  8 41  7 40  6 39  5 38  4 37  3 36  2 35  1 34
