Testni primer za prastevilo : 71 Mnozica: Z_71
----------------------------------
Vsota: 
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70
 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42
 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
 57 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
 58 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
 59 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58
 60 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
 61 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
 62 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61
 63 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
 64 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
 65 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
 66 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65
 67 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66
 68 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
 69 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
 70  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69
----------------------------------
Zmnozek: 
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70
  0  2  4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70  1  3  5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69
  0  3  6  9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69  1  4  7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58 61 64 67 70  2  5  8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68
  0  4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68  1  5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69  2  6 10 14 18 22 26 30 34 38 42 46 50 54 58 62 66 70  3  7 11 15 19 23 27 31 35 39 43 47 51 55 59 63 67
  0  5 10 15 20 25 30 35 40 45 50 55 60 65 70  4  9 14 19 24 29 34 39 44 49 54 59 64 69  3  8 13 18 23 28 33 38 43 48 53 58 63 68  2  7 12 17 22 27 32 37 42 47 52 57 62 67  1  6 11 16 21 26 31 36 41 46 51 56 61 66
  0  6 12 18 24 30 36 42 48 54 60 66  1  7 13 19 25 31 37 43 49 55 61 67  2  8 14 20 26 32 38 44 50 56 62 68  3  9 15 21 27 33 39 45 51 57 63 69  4 10 16 22 28 34 40 46 52 58 64 70  5 11 17 23 29 35 41 47 53 59 65
  0  7 14 21 28 35 42 49 56 63 70  6 13 20 27 34 41 48 55 62 69  5 12 19 26 33 40 47 54 61 68  4 11 18 25 32 39 46 53 60 67  3 10 17 24 31 38 45 52 59 66  2  9 16 23 30 37 44 51 58 65  1  8 15 22 29 36 43 50 57 64
  0  8 16 24 32 40 48 56 64  1  9 17 25 33 41 49 57 65  2 10 18 26 34 42 50 58 66  3 11 19 27 35 43 51 59 67  4 12 20 28 36 44 52 60 68  5 13 21 29 37 45 53 61 69  6 14 22 30 38 46 54 62 70  7 15 23 31 39 47 55 63
  0  9 18 27 36 45 54 63  1 10 19 28 37 46 55 64  2 11 20 29 38 47 56 65  3 12 21 30 39 48 57 66  4 13 22 31 40 49 58 67  5 14 23 32 41 50 59 68  6 15 24 33 42 51 60 69  7 16 25 34 43 52 61 70  8 17 26 35 44 53 62
  0 10 20 30 40 50 60 70  9 19 29 39 49 59 69  8 18 28 38 48 58 68  7 17 27 37 47 57 67  6 16 26 36 46 56 66  5 15 25 35 45 55 65  4 14 24 34 44 54 64  3 13 23 33 43 53 63  2 12 22 32 42 52 62  1 11 21 31 41 51 61
  0 11 22 33 44 55 66  6 17 28 39 50 61  1 12 23 34 45 56 67  7 18 29 40 51 62  2 13 24 35 46 57 68  8 19 30 41 52 63  3 14 25 36 47 58 69  9 20 31 42 53 64  4 15 26 37 48 59 70 10 21 32 43 54 65  5 16 27 38 49 60
  0 12 24 36 48 60  1 13 25 37 49 61  2 14 26 38 50 62  3 15 27 39 51 63  4 16 28 40 52 64  5 17 29 41 53 65  6 18 30 42 54 66  7 19 31 43 55 67  8 20 32 44 56 68  9 21 33 45 57 69 10 22 34 46 58 70 11 23 35 47 59
  0 13 26 39 52 65  7 20 33 46 59  1 14 27 40 53 66  8 21 34 47 60  2 15 28 41 54 67  9 22 35 48 61  3 16 29 42 55 68 10 23 36 49 62  4 17 30 43 56 69 11 24 37 50 63  5 18 31 44 57 70 12 25 38 51 64  6 19 32 45 58
  0 14 28 42 56 70 13 27 41 55 69 12 26 40 54 68 11 25 39 53 67 10 24 38 52 66  9 23 37 51 65  8 22 36 50 64  7 21 35 49 63  6 20 34 48 62  5 19 33 47 61  4 18 32 46 60  3 17 31 45 59  2 16 30 44 58  1 15 29 43 57
  0 15 30 45 60  4 19 34 49 64  8 23 38 53 68 12 27 42 57  1 16 31 46 61  5 20 35 50 65  9 24 39 54 69 13 28 43 58  2 17 32 47 62  6 21 36 51 66 10 25 40 55 70 14 29 44 59  3 18 33 48 63  7 22 37 52 67 11 26 41 56
  0 16 32 48 64  9 25 41 57  2 18 34 50 66 11 27 43 59  4 20 36 52 68 13 29 45 61  6 22 38 54 70 15 31 47 63  8 24 40 56  1 17 33 49 65 10 26 42 58  3 19 35 51 67 12 28 44 60  5 21 37 53 69 14 30 46 62  7 23 39 55
  0 17 34 51 68 14 31 48 65 11 28 45 62  8 25 42 59  5 22 39 56  2 19 36 53 70 16 33 50 67 13 30 47 64 10 27 44 61  7 24 41 58  4 21 38 55  1 18 35 52 69 15 32 49 66 12 29 46 63  9 26 43 60  6 23 40 57  3 20 37 54
  0 18 36 54  1 19 37 55  2 20 38 56  3 21 39 57  4 22 40 58  5 23 41 59  6 24 42 60  7 25 43 61  8 26 44 62  9 27 45 63 10 28 46 64 11 29 47 65 12 30 48 66 13 31 49 67 14 32 50 68 15 33 51 69 16 34 52 70 17 35 53
  0 19 38 57  5 24 43 62 10 29 48 67 15 34 53  1 20 39 58  6 25 44 63 11 30 49 68 16 35 54  2 21 40 59  7 26 45 64 12 31 50 69 17 36 55  3 22 41 60  8 27 46 65 13 32 51 70 18 37 56  4 23 42 61  9 28 47 66 14 33 52
  0 20 40 60  9 29 49 69 18 38 58  7 27 47 67 16 36 56  5 25 45 65 14 34 54  3 23 43 63 12 32 52  1 21 41 61 10 30 50 70 19 39 59  8 28 48 68 17 37 57  6 26 46 66 15 35 55  4 24 44 64 13 33 53  2 22 42 62 11 31 51
  0 21 42 63 13 34 55  5 26 47 68 18 39 60 10 31 52  2 23 44 65 15 36 57  7 28 49 70 20 41 62 12 33 54  4 25 46 67 17 38 59  9 30 51  1 22 43 64 14 35 56  6 27 48 69 19 40 61 11 32 53  3 24 45 66 16 37 58  8 29 50
  0 22 44 66 17 39 61 12 34 56  7 29 51  2 24 46 68 19 41 63 14 36 58  9 31 53  4 26 48 70 21 43 65 16 38 60 11 33 55  6 28 50  1 23 45 67 18 40 62 13 35 57  8 30 52  3 25 47 69 20 42 64 15 37 59 10 32 54  5 27 49
  0 23 46 69 21 44 67 19 42 65 17 40 63 15 38 61 13 36 59 11 34 57  9 32 55  7 30 53  5 28 51  3 26 49  1 24 47 70 22 45 68 20 43 66 18 41 64 16 39 62 14 37 60 12 35 58 10 33 56  8 31 54  6 29 52  4 27 50  2 25 48
  0 24 48  1 25 49  2 26 50  3 27 51  4 28 52  5 29 53  6 30 54  7 31 55  8 32 56  9 33 57 10 34 58 11 35 59 12 36 60 13 37 61 14 38 62 15 39 63 16 40 64 17 41 65 18 42 66 19 43 67 20 44 68 21 45 69 22 46 70 23 47
